,title,release_date,director,writers,actors,genres,plot_keywords,plot_summary,tag_lines,production_company,primary_language,runtime,color,country,sound_mix,meta_score,user_rating,budget,opening_weekend_date,opening_weekend_revenue,gross_revenue_date,gross_revenue,id,open_week_rev_currency,Date_weekend,Date_GrossRev,Date_released
48,Now You See Me 2,10June2016,Jon M. Chu,Ed Solomon;Ed Solomon,Jesse Eisenberg;Mark Ruffalo;Woody Harrelson, Action; Adventure; Comedy; Crime; Mystery; Thriller,heist;magician;rooftop;card trick;rain machine,The Four Horsemen resurface and are forcibly recruited by a tech genius to pull off their most impossible heist yet.,You haven't seen anything yet,K/O Paper Products;Lionsgate;Summit Entertainment,English,129 min,Color,USA,Dolby Atmos;DTS,46,6.5,90000000.0,10June2016,22383146.0,19August2016,65030563.0,49,dollar,2016-06-10,2016-08-19,2016-06-10
51,In a Valley of Violence,12March2016,Ti West, ,Ethan Hawke;John Travolta;Taissa Farmiga, Western, ,A mysterious stranger and a random act of violence drag a town of misfits and nitwits into the bloody crosshairs of revenge.,Keep Your Finger on the Trigger,Blumhouse Productions,English,104 min,Color,USA, , ,6.1,,21October2016,29343.0,21October2016,29343.0,52,dollar,2016-10-21,2016-10-21,2016-03-12
53,Ice Age: Collision Course,22July2016, ,Michael J. Wilson;Michael Berg,Ray Romano;Denis Leary;John Leguizamo, Animation; Adventure; Comedy; Family; Sci-Fi,critically bashed;singing;meteor crash;fire;fireworks,"Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world.",Beauty and the sloth,Blue Sky Studios;Twentieth Century Fox Animation,English,94 min,Color;Color;Color,USA,Dolby Digital;Datasat;Dolby Atmos;SDDS;Dolby, ,5.7,105000000.0,22July2016,21373064.0,21October2016,64045593.0,54,dollar,2016-07-22,2016-10-21,2016-07-22
54,The Whole Truth,21October2016,Courtney Hunt, ,Keanu Reeves;Renée Zellweger;Gugu Mbatha-Raw, Drama; Thriller, ,A defense attorney works to get his teenage client acquitted of murdering his wealthy father.,"Do you swear to tell the truth, The Whole Truth, and nothing but the truth? So help you God.",PalmStar Media;Atlas Entertainment;Likely Story,English,93 min,Color,USA,Dolby Digital,46,6.0,,,,,,55,dollar,,,2016-10-21
55,Central Intelligence,17June2016,Rawson Marshall Thurber,Ike Barinholtz;David Stassen,Dwayne Johnson;Kevin Hart;Danielle Nicolet, Action; Comedy; Crime,high school;rogue agent;accountant;prank;cia,"After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.",Saving the world takes a little Hart and a big Johnson,New Line Cinema;Bluegrass Films;Principato-Young Entertainment,English,107 min,Color,USA,Dolby Digital;Dolby Surround 7.1,52,6.4,50000000.0,17June2016,35535250.0,26August2016,127380061.0,56,dollar,2016-06-17,2016-08-26,2016-06-17
56,Café Society,5August2016,Woody Allen, ,Jesse Eisenberg;Kristen Stewart;Steve Carell, Comedy; Drama; Romance,uncle;1930s;high class;older man younger woman marriage;reference to james cagney,"In the 1930s, a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man.",Anyone who is anyone will be seen at Café Society.,FilmNation Entertainment;Gravier Productions;Perdido Productions,English,96 min,Color,USA, , ,6.8,30000000.0,15July2016,359289.0,30September2016,11078961.0,57,dollar,2016-07-15,2016-09-30,2016-08-05
59,Mr. Church,16September2016,Bruce Beresford, ,Eddie Murphy;Britt Robertson;Natascha McElhone, Drama, ,"""Mr. Church"" tells the story of a unique friendship that develops when a little girl and her dying mother retain the services of a talented cook - Henry Joseph Church. What begins as a six month arrangement instead spans into fifteen years and creates a family bond that lasts forever.",He was the one person she could always count on.,Cinelou Films;Envision Media Arts;Shenghua Entertainment,English,104 min,Color,USA,SDDS;DTS;Dolby Digital, ,7.7,8000000.0,16September2016,338378.0,21October2016,685143.0,60,dollar,2016-09-16,2016-10-21,2016-09-16
63,Teenage Mutant Ninja Turtles: Out of the Shadows,3June2016,Dave Green,Josh Appelbaum;André Nemec,Megan Fox;Will Arnett;Tyler Perry, Action; Adventure; Comedy; Sci-Fi,sequel;based on comic book;turtle;rat;brother brother relationship,"After facing Shredder, who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang.",Only one team can defend us all.,Canadian Film or Video Production Tax Credit Program;China Movie Media Group;Gama Entertainment Partners,English,112 min,Color,USA,Dolby Atmos;Datasat,40,6.1,135000000.0,3June2016,35316382.0,26August2016,81987616.0,64,dollar,2016-06-03,2016-08-26,2016-06-03
64,Free State of Jones,24June2016,Gary Ross,Leonard Hartman;Gary Ross,Matthew McConaughey;Gugu Mbatha-Raw;Mahershala Ali, Action; Biography; Drama; History; War,civil war;u.s. civil war;american civil war;box office flop;independent film,"A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters, runaway slaves, and women in an uprising against the corrupt local Confederate government.",Based on the incredible true story.,Bluegrass Films;Larger Than Life Productions;Route One Entertainment,English,139 min,Color,USA, ,53,6.9,50000000.0,24June2016,7572206.0,22July2016,20758378.0,65,dollar,2016-06-24,2016-07-22,2016-06-24
65,I'm Not Ashamed,28October2016,Brian Baugh,Philipa A. Booyens;Robin Hanley,Masey McLain;Ben Davies;Cameron McKendry, Biography; Drama,true story;massacre;christian teen;religious teen;gunshot,Based on the inspiring and powerful true story and journal entries of Rachel Joy Scott- the first student killed in the Columbine high school shooting in 1999.,Based on the inspiring true story of Rachel Joy Scott at Columbine High School.,Visible Pictures(II);All Entertainment,English,112 min,Color,USA, , ,6.3,1500000.0,21October2016,927161.0,21October2016,927161.0,66,dollar,2016-10-21,2016-10-21,2016-10-28
